Cancer,DIC,PD,D-Bar,model
BrCa,55018.3798,51.99979984,54966.38,Spatial
BrCa,54948.87912,59.91911912,54888.96,Spatial Temporal
BrCa,55019.79636,62.4063564,54957.39,Spatial Univ
BrCa,54947.02591,69.10590591,54877.92,Spatial Temporal Univ
BrCa,54945.29357,60.02357357,54885.27,Spatial Temporal Change Point
CrCa,92177.54144,46.44144144,92131.1,Spatial
CrCa,92114.30561,56.85560561,92057.45,Spatial Temporal
CrCa,92190.12987,71.91986987,92118.21,Spatial Univ
CrCa,92148.67363,102.4336336,92046.24,Spatial Temporal Univ
CrCa,92114.83506,59.50505506,92055.33,Spatial Temporal Change Point
PrCa,42045.73123,56.23123119,41989.5,Spatial
PrCa,41890.90827,62.31826827,41828.59,Spatial Temporal
PrCa,42023.3377,61.74769767,41961.59,Spatial Univ
PrCa,41882.55804,80.48803804,41802.07,Spatial Temporal Univ
PrCa,41887.40865,60.69864865,41826.71,Spatial Temporal Change Point
Total,189241.6525,154.6724725,189086.98,Spatial
Total,188954.093,179.092993,188775,Spatial Temporal
Total,189233.2639,196.0739239,189037.19,Spatial Univ
Total,188978.2576,252.0275776,188726.23,Spatial Temporal Univ
Total,188947.5373,180.2272773,188767.31,Spatial Temporal Change Point
